id,size,category_gold,score_gold,local_pred_category,local_agree,local_correct,local_score_mean,local_score_err,cloud_pred_category,cloud_agree,cloud_correct,cloud_score_mean,cloud_score_err
173954,small,personal,0.3,urgent,3/3,False,0.933,0.633,work,3/3,False,0.3,0.0
personal_1,small,personal,0.1,work,3/3,False,0.3,0.2,work,3/3,False,0.167,0.067
personal_2,small,personal,0.2,work,3/3,False,0.533,0.333,personal,3/3,True,0.3,0.1
personal_3,small,personal,0.3,personal,3/3,True,0.567,0.267,personal,3/3,True,0.333,0.033
personal_4,small,personal,0.4,personal,3/3,True,0.267,0.133,personal,3/3,True,0.3,0.1
personal_5,small,personal,0.7,personal,3/3,True,0.667,0.033,personal,3/3,True,0.817,0.117
personal_6,small,personal,0.8,urgent,2/3,False,0.9,0.1,urgent,3/3,False,0.907,0.107
personal_7,small,personal,1.0,urgent,3/3,False,0.933,0.067,urgent,3/3,False,0.95,0.05
personal_8,medium,personal,0.1,newsletter,2/3,False,0.3,0.2,newsletter,3/3,False,0.3,0.2
personal_9,medium,personal,0.2,work,2/3,False,0.6,0.4,work,3/3,False,0.467,0.267
personal_10,medium,personal,0.3,personal,3/3,True,0.633,0.333,personal,3/3,True,0.4,0.1
personal_11,medium,personal,0.4,work,3/3,False,0.4,0.0,work,2/3,False,0.4,0.0
personal_12,medium,personal,0.5,work,3/3,False,0.667,0.167,personal,3/3,True,0.6,0.1
personal_13,medium,personal,0.7,urgent,3/3,False,0.9,0.2,urgent,3/3,False,0.93,0.23
personal_14,medium,personal,0.7,personal,1/3,True,0.733,0.033,urgent,3/3,False,0.95,0.25
personal_15,medium,personal,0.8,urgent,3/3,False,0.867,0.067,personal,3/3,True,0.867,0.067
personal_16,medium,personal,0.8,urgent,3/3,False,0.9,0.1,urgent,3/3,False,0.963,0.163
personal_17,medium,personal,1.0,urgent,3/3,False,0.9,0.1,urgent,3/3,False,0.98,0.02
personal_18,large,personal,1.0,urgent,3/3,False,0.933,0.067,urgent,3/3,False,0.957,0.043
personal_19,large,personal,0.2,personal,3/3,True,0.667,0.467,personal,3/3,True,0.4,0.2
personal_20,large,personal,0.5,work,3/3,False,0.7,0.2,work,3/3,False,0.6,0.1
personal_21,large,personal,0.4,personal,3/3,True,0.767,0.367,personal,3/3,True,0.7,0.3
personal_22,large,personal,0.3,newsletter,1/3,False,0.567,0.267,personal,3/3,True,0.6,0.3
personal_23,large,personal,0.3,urgent,3/3,False,0.867,0.567,personal,3/3,True,0.7,0.4
personal_24,large,personal,0.6,urgent,2/3,False,0.833,0.233,urgent,3/3,False,0.867,0.267
personal_25,large,personal,0.5,urgent,3/3,False,0.9,0.4,work,2/3,False,0.707,0.207
personal_26,large,personal,0.3,personal,3/3,True,0.7,0.4,personal,3/3,True,0.4,0.1
personal_27,large,personal,0.3,work,2/3,False,0.633,0.333,personal,3/3,True,0.4,0.1
urgent_1,small,urgent,1.0,urgent,3/3,True,0.9,0.1,urgent,3/3,True,0.95,0.05
urgent_2,small,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.9,0.0
urgent_3,small,urgent,1.0,urgent,3/3,True,0.933,0.067,promotional,3/3,False,0.1,0.9
urgent_4,small,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.96,0.06
urgent_5,small,urgent,1.0,urgent,3/3,True,0.917,0.083,urgent,3/3,True,1.0,0.0
urgent_6,small,urgent,0.9,urgent,3/3,True,0.933,0.033,promotional,3/3,False,0.2,0.7
urgent_7,small,urgent,0.9,urgent,3/3,True,0.967,0.067,urgent,3/3,True,0.977,0.077
urgent_8,small,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.85,0.05
urgent_9,small,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.95,0.05
urgent_10,small,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.97,0.07
urgent_11,medium,urgent,1.0,urgent,3/3,True,0.9,0.1,urgent,3/3,True,0.95,0.05
urgent_12,medium,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.9,0.0
urgent_13,medium,urgent,1.0,urgent,3/3,True,0.9,0.1,promotional,2/3,False,0.367,0.633
urgent_14,medium,urgent,1.0,urgent,3/3,True,0.95,0.05,promotional,3/3,False,0.1,0.9
urgent_15,medium,urgent,0.9,urgent,3/3,True,0.95,0.05,urgent,3/3,True,1.0,0.1
urgent_16,medium,urgent,0.9,urgent,3/3,True,0.933,0.033,urgent,3/3,True,0.85,0.05
urgent_17,medium,urgent,1.0,urgent,3/3,True,0.933,0.067,urgent,3/3,True,0.85,0.15
urgent_18,medium,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.97,0.07
urgent_19,medium,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.98,0.08
urgent_20,medium,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.683,0.217
urgent_21,large,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.85,0.05
urgent_22,large,urgent,0.9,urgent,3/3,True,0.833,0.067,urgent,3/3,True,0.85,0.05
urgent_23,large,urgent,1.0,urgent,3/3,True,0.933,0.067,promotional,3/3,False,0.1,0.9
urgent_24,large,urgent,1.0,urgent,3/3,True,0.917,0.083,promotional,3/3,False,0.1,0.9
urgent_25,large,urgent,1.0,urgent,3/3,True,0.983,0.017,promotional,3/3,False,0.083,0.917
urgent_26,large,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.963,0.063
urgent_27,large,urgent,0.9,urgent,3/3,True,0.917,0.017,urgent,3/3,True,0.973,0.073
urgent_28,large,urgent,0.9,urgent,3/3,True,0.933,0.033,urgent,3/3,True,0.85,0.05
urgent_29,large,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.883,0.017
urgent_30,large,urgent,0.9,urgent,3/3,True,0.9,0.0,urgent,3/3,True,0.867,0.033
